_exported_at;_system_object_id;_id;_last_modified;oeu_nc_name#de-DE;oeu_nc_name#en-US;oeu_isler_name#de-DE;oeu_isler_name#en-US
"2023-05-25T10:42:53+02:00";"111760";"17116";"2023-02-23T15:48:42Z";"Olympiagelände München : Olympiastadion";"";"Olympiagelände München : Olympiastadion";"Munich Olympic Park : Olympic Stadium"
"2023-05-25T10:42:53+02:00";"111761";"17117";"2023-03-28T12:41:50Z";"Store for Mr. Bin-Yaqub";"";"Laden für Herr Bin-Yaqub";"Store for Mr. Bin-Yaqub"
"2023-05-25T10:42:53+02:00";"111762";"17118";"2021-07-26T10:50:43Z";"Einfamilienhaus Etter";"";"Einfamilienhaus Etter Lurtigen";"Single-Family House Etter Lurtigen"
"2023-05-25T10:42:53+02:00";"111763";"17119";"2023-03-28T12:41:51Z";"LIAS Leichtbaustoffe GmbH";"";"LIAS Leichtbaustoffe GmbH";"LIAS Leichtbaustoffe GmbH"
"2023-05-25T10:42:53+02:00";"111764";"17120";"2023-05-03T16:43:55Z";"Hunziker";"";"Hunziker";"Hunziker"
"2023-05-25T10:42:53+02:00";"111765";"17121";"2023-05-03T08:31:19Z";"Inelectra SA : Ausstellungshalle";"";"Inelectra SA : Ausstellungshalle";"Inelectra SA : Exhibition Hall"
"2023-05-25T10:42:53+02:00";"111766";"17122";"2023-05-03T16:36:01Z";"Jakober : Überdachung Fabrikareal";"";"Jakober : Überdachung Fabrikareal";"Jakober : Roofing of the Factory Area"
"2023-05-25T10:42:53+02:00";"111767";"17123";"2023-03-15T16:28:26Z";"Garagen Neubau";"";"Garagen Neubau";"New Garage Construction"
"2023-05-25T10:42:53+02:00";"111768";"17124";"2023-02-23T17:19:38Z";"Naturtheater Stetten (heute Theater unter den Kuppeln) : Überdachung Zuschauertribüne";"Naturtheater Stetten (Today Theater Under the Cupolas) : Canopy of the Auditorium";"Naturtheater Stetten";"Natural Theatre Stetten"
"2023-05-25T10:42:53+02:00";"111769";"17125";"2023-03-28T12:41:56Z";"Mercedes Benz Automobil AG : Erweiterung";"";"Mercedes Benz Automobil AG : Erweiterung";"Mercedes Benz Automobil AG : Extention"
"2023-05-25T10:42:53+02:00";"111770";"17126";"2023-04-11T08:24:09Z";"Atom Unterstand Buildco";"";"Atom Unterstand Buildco";"Atom Shelter Buildco"
"2023-05-25T10:42:53+02:00";"111771";"17127";"2023-05-13T13:00:25Z";"Kirchenbau in Mödling";"";"Kirchenbau in Mödling";"Church Building in Mödling"
"2023-05-25T10:42:53+02:00";"111772";"17128";"2023-03-28T12:54:06Z";"Lagerhalle";"";"Lagerhalle";"Warehouse"
"2023-05-25T10:42:53+02:00";"111773";"17129";"2023-03-28T12:42:34Z";"Tankstelle Shell AG";"";"Tankstelle Shell AG";"Petrol Station Shell AG"
"2023-05-25T10:42:53+02:00";"111774";"17130";"2023-03-28T12:42:35Z";"Günter AG (GMB Technik)";"";"Günter AG (GMB Technik)";"Günter AG (GMB Technology)"
"2023-05-25T10:42:53+02:00";"111775";"17131";"2023-05-03T10:35:47Z";"Garage Sergio Starini";"";"Garage Sergio Starini";"Garage Sergio Starini"
"2023-05-25T10:42:53+02:00";"111776";"17132";"2023-03-28T12:42:37Z";"Fabrikgebäude W. Ruf : Aufstockung";"";"Fabrikgebäude W. Ruf : Aufstockung";"Factory Building W. Ruf : Building Extension"
"2023-05-25T10:42:53+02:00";"111777";"17133";"2023-03-28T12:42:38Z";"Nato-Lagerhallen";"";"Nato-Lagerhallen";"Nato Warehouses"
"2023-05-25T10:42:53+02:00";"111778";"17134";"2023-05-13T12:54:44Z";"Kodak";"";"Kodak";"Kodak"
"2023-05-25T10:42:53+02:00";"111779";"17135";"2023-05-03T16:36:47Z";"Alfons Mayolani, Transporte";"";"Alfons Mayolani, Transporte";"Alfons Mayolani, Transportation"
"2023-05-25T10:42:53+02:00";"111780";"17136";"2023-03-28T12:42:41Z";"Flughafen Stuttgart GmbH : Flugzeugwartungshalle : Neubau";"";"Flughafen Stuttgart GmbH : Flugzeugwartungshalle : Neubau";"Flughafen Stuttgart Gmbh : Aircraft Maintenance Hangar : New Building"
"2023-05-25T10:42:53+02:00";"111781";"17137";"2023-03-28T12:42:42Z";"Baumaschinen AG";"";"Baumaschinen AG";"Baumaschinen AG"
"2023-05-25T10:42:53+02:00";"111782";"17138";"2023-05-02T16:39:08Z";"Rundkohlelager";"";"Rundkohlelager";"Round Coal Storage"
"2023-05-25T10:42:53+02:00";"111783";"17139";"2023-03-15T17:25:31Z";"Garage Epper : Werkhalle";"";"Garage Epper : Werkhalle";"Garage Epper : Workshop"
"2023-05-25T10:42:53+02:00";"111784";"17140";"2023-03-20T16:24:10Z";"Federnfabrik Straub (heute Federtechnik Wangs AG)";"";"Federnfabrik Straub (heute Federtechnik Wangs AG)";"Federnfabrik Straub (Today Federtechnik Wangs AG)"
"2023-05-25T10:42:53+02:00";"111785";"17141";"2023-03-28T12:42:45Z";"Fleischwarenfabrik Micarna II";"";"Fleischwarenfabrik Micarna II";"Meat Factory Micarna II"
"2023-05-25T10:42:53+02:00";"111786";"17142";"2023-03-28T12:42:46Z";"Gustav Gerig + Co. AG : Fabrikations- und Lagerhallen : Neubau";"";"Gustav Gerig + Co. AG : Fabrikations- und Lagerhallen : Neubau";"Gustav Gerig + Co. AG : Production and Storage Halls : New Building"
"2023-05-25T10:42:53+02:00";"111787";"17143";"2023-03-28T12:42:48Z";"H. Frei : Hallenbau";"";"H. Frei : Hallenbau";"H. Frei : Hall Construction"
"2023-05-25T10:42:53+02:00";"111788";"17144";"2023-03-28T12:42:50Z";"Garage";"";"Garage";"Garage"
"2023-05-25T10:42:53+02:00";"111789";"17145";"2023-05-13T12:33:20Z";"Kunststoffwerk Starkermann & Cie. : Lagerhalle : Neubau";"";"Kunststoffwerk Starkermann & Cie. : Lagerhalle : Neubau";"Plastic Factory Starkermann & Cie. : Warehouse : New Building"
"2023-05-25T10:42:53+02:00";"111790";"17146";"2023-05-02T14:47:03Z";"Galenica AG";"";"Galenica AG";"Galenica AG"
