"_system_object_id","_id","T_Chronologie","T_ChronologieDatMin","T_ChronologieDatMax","T_ChronologieTimespanFrom","T_ChronologieTimespanTo"
"112071","17427","Vorprojekt 1968/1969","01.01.1968","31.12.1969","1968","1969"
"112072","17428","Vorprojekt 1978","01.01.1978","31.12.1978","1978","1978"
"112073","17429","Vorprojekt 1971","01.01.1971","31.12.1971","1971","1971"
"112074","17430","datiert 1965/1967","01.01.1965","31.12.1967","1965","1967"
"112076","17432","Anfrage 1977","01.01.1977","31.12.1977","1977","1977"
"112077","17433","Anfrage 1973","01.01.1973","31.12.1973","1973","1973"
"112078","17434","Projekt 1968","01.01.1968","31.12.1968","1968","1968"
"112079","17435","Vorprojekt 1969","01.01.1969","31.12.1969","1969","1969"
"112080","17436","Anfrage 1966","01.01.1966","31.12.1966","1966","1966"
"112082","17438","Anfrage 1980","01.01.1980","31.12.1980","1980","1980"
"112083","17439","Vorprojekt 1976","01.01.1976","31.12.1976","1976","1976"
"112084","17440","datiert 1979","01.01.1979","31.12.1979","1979","1979"
"112085","17441","Anfrage 1968","01.01.1968","31.12.1968","1968","1968"
"112088","17444","Vorprojekt 1970","01.01.1970","31.12.1970","1970","1970"
"112089","17445","Projekt 3.1957","01.03.1957","31.03.1957","1957-03-01","1957-03-31"
"112090","17446","Vorprojekt 1967","01.01.1967","31.12.1967","1967","1967"
"112091","17447","Anfrage 1993","01.01.1993","31.12.1993","1993","1993"
"112142","17498","Vorprojekt 1970","01.01.1970","31.12.1970","1970","1970"
"112143","17499","Anfrage 1980/1981","01.01.1980","31.12.1981","1980","1981"
"112145","17501","Projekt 1981","01.01.1981","31.12.1981","1981","1981"
"112146","17502","Vorprojekt 1967","01.01.1967","31.12.1967","1967","1967"
"112149","17505","Anfrage 1967","01.01.1967","31.12.1967","1967","1967"
"112151","17507","Anfrage 1994","01.01.1994","31.12.1994","1994","1994"
"112152","17508","Anfrage 1968","01.01.1968","31.12.1968","1968","1968"
"112153","17509","Vorprojekt 1966/1968","01.01.1966","31.12.1968","1966","1968"
"112154","17510","Anfrage 1983","01.01.1983","31.12.1983","1983","1983"
"112155","17511","Anfrage 1980","01.01.1980","31.12.1980","1980","1980"
"112156","17512","Anfrage 1971","01.01.1971","31.12.1971","1971","1971"
"112159","17515","Anfrage 8.1966","01.08.1966","31.08.1966","1966-08-01","1966-08-31"
"112161","17517","Anfrage 1963","01.01.1963","31.12.1963","1963","1963"
"112164","17520","Anfrage 1971","01.01.1971","31.12.1971","1971","1971"
"112165","17521","Acquisition 1978","01.01.1978","31.12.1978","1978","1978"
"112166","17522","Vorprojekt 1962","01.01.1962","31.12.1962","1962","1962"
"112167","17523","Vorprojekt 1973","01.01.1973","31.12.1973","1973","1973"
"112168","17524","Anfrage 1969","01.01.1969","31.12.1969","1969","1969"
"112169","17525","Vorprojekt 1959","01.01.1959","31.12.1959","1959","1959"
"112170","17526","gezeichnet 1959","01.01.1959","31.12.1959","1959","1959"
"112171","17527","Vorprojekt 1967","01.01.1967","31.12.1967","1967","1967"
"112172","17528","Anfrage 1962","01.01.1962","31.12.1962","1962","1962"
"112173","17529","Vorprojekt 1970","01.01.1970","31.12.1970","1970","1970"
"112174","17530","Akquisition 1980/1981","01.01.1980","31.12.1981","1980","1981"
"112175","17531","Vorprojekt 1970","01.01.1970","31.12.1970","1970","1970"
"112176","17532","Anfrage 1966","01.01.1966","31.12.1966","1966","1966"
"112177","17533","Projekt 1984/1985","01.01.1984","31.12.1985","1984","1985"
"112178","17534","eventuell Projekt 1977","01.01.1977","31.12.1977","1977","1977"
"112179","17535","Projekt(e) 1962/1963","01.01.1962","31.12.1963","1962","1963"
"112180","17536","Vorprojekt 1982","01.01.1982","31.12.1982","1982","1982"
"112181","17537","Vorprojekt 1983","01.01.1983","31.12.1983","1983","1983"
"112182","17538","Akquisition 1988","01.01.1988","31.12.1988","1988","1988"
"112183","17539","Vorschlag 1966","01.01.1966","31.12.1966","1966","1966"
"112184","17540","Anfrage 1966","01.01.1966","31.12.1966","1966","1966"
