"_system_object_id";"_id";"T_Chronologie";"T_ChronologieDatMin";"T_ChronologieDatMax";"T_ChronologieTimespanFrom";"T_ChronologieTimespanTo";"easydb|row_idx";"easydb|operation";"easydb|status";"easydb|timestamp";"easydb|status_text";"easydb|warning_text";"easydb|id";"easydb|version";"easydb|id_parent";"easydb|depth";"easydb|path";"easydb|act|act__generic_actors";"easydb|act_role|act_role__all_fields";"easydb|generic_lang|generic_lang__all_fields";"easydb|generic_nametype|generic_nametype__all_fields";"easydb|bi|bi__all_fields";"easydb|ac|ac__all_fields";"easydb|pl|pl__all_fields";"easydb|generic_uncertainty|generic_uncert__all_fields";"easydb|generic_identifier_type|generic_identifier_type__all_fields";"easydb|hierarchy-oeu|oeu__all_fields_isler_v3";"easydb|generic_dimensions|generic_dimensions__all_fields";"easydb|generic_materials|art_materials__all_fields";"easydb|typology_shell|oeu_shell__all_fields";"easydb|oeu_nc_type|oeu_type__all_fields";"easydb|do|do__generic_import"
"111843";"17199";"undatiert [1960/1970]";"01.01.1960";"31.12.1970";"1960";"1970";"66";"[""update""]";"done";"2023-03-28 14:43:40";"";"";"17199";"9";"17148";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"111845";"17201";"datiert 14.7.1964";"14.07.1964";"14.07.1964";"1964-07-14";"1964-07-14";"67";"[""update""]";"done";"2023-03-28 14:43:40";"";"";"17201";"11";"17150";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"111846";"17202";"Projekt 1986";"01.01.1986";"31.12.1986";"1986";"1986";"68";"[""update""]";"done";"2023-03-28 14:43:40";"";"";"17202";"13";"17151";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"111847";"17203";"Anfrage 1993";"01.01.1993";"31.12.1993";"1993";"1993";"69";"[""update""]";"done";"2023-03-28 14:43:40";"";"";"17203";"11";"17152";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"111848";"17204";"Vorprojekt 1965";"01.01.1965";"31.12.1965";"1965";"1965";"70";"[""update""]";"done";"2023-03-28 14:43:40";"";"";"17204";"10";"17153";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"111851";"17207";"Anfrage 1971";"01.01.1971";"31.12.1971";"1971";"1971";"71";"[""update""]";"done";"2023-03-28 14:43:40";"";"";"17207";"10";"17156";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"111852";"17208";"Anfrage 1972";"01.01.1972";"31.12.1972";"1972";"1972";"72";"[""update""]";"done";"2023-03-28 14:43:40";"";"";"17208";"13";"17157";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"111854";"17210";"Vorprojekt 1994";"01.01.1994";"31.12.1994";"1994";"1994";"73";"[""update""]";"done";"2023-03-28 14:43:40";"";"";"17210";"10";"17159";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"111855";"17211";"Anfrage 1979";"01.01.1979";"31.12.1979";"1979";"1979";"74";"[""update""]";"done";"2023-03-28 14:43:40";"";"";"17211";"10";"17160";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"111858";"17214";"Vorprojekt 1978";"01.01.1978";"31.12.1978";"1978";"1978";"75";"[""update""]";"done";"2023-03-28 14:43:40";"";"";"17214";"11";"17163";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
