_exported_at;_system_object_id;_id;_pool;_pool#de-DE;_pool#en-US;_tags#id;_tags#reference;_tags#shortname;_tags#de-DE;_tags#en-US;_standard#de-DE;_standard#en-US;oeu_legacy_person;oeu_legacy_place;oeu_legacy_chrono;oeu_legacy_note;oeu_nc_name#de-DE;oeu_nc_name#en-US;oeu_archive_exist_construct_timespan#from;oeu_archive_exist_construct_timespan#to;oeu_archive_exist_destruct_timespan#from;oeu_archive_exist_destruct_timespan#to;oeu_descr_legacy_person;oeu_descr_legacy_places;oeu_descr_legacy_chronology;oeu_archive_exist_construct_timespan#text#de-DE;oeu_archive_exist_construct_timespan#text#en-US;_id_parent;oeu_archive_exist_destruct_timespan#text#de-DE;oeu_archive_exist_destruct_timespan#text#en-US
"2023-03-24T15:12:04+01:00";"111627";"16983";"92";"gta Aarchives";"gta Archives";"91";;;"Œuvres";"Œuvres";"Nord-Süd-Garage Felber & Engler : Ausstellungshalle Altdorf (UR) (Politische Gemeinde)";"North-South Garage Felber & Engler : Exhibition Hall Altdorf (UR) (Municipality)";;;;;"Nord-Süd-Garage Felber & Engler : Ausstellungshalle";"North-South Garage Felber & Engler : Exhibition Hall";"1964";"1966";;;"Ingenieur: Heinz Isler";"Objektort: Altdorf/UR";"Anfrage 1964";" 1964 - 1966";"1964 to 1966";;;
"2023-03-24T15:12:04+01:00";"111628";"16984";"92";"gta Aarchives";"gta Archives";"91";;;"Œuvres";"Œuvres";"Deutsches Rotes Kreuz : Garage und Magazin (Einfamilienhaus Balz : Anbau) Leinfelden-Echterdingen, Gräbleswiesenweg (Straße) (Strasse)";"Leinfelden-Echterdingen, Gräbleswiesenweg (roads) (Street)";;;;;"Deutsches Rotes Kreuz : Garage und Magazin (Einfamilienhaus Balz : Anbau)";"";"1979";"1980";;;"Ingenieur: Heinz Isler";"Objektort: Gräbleswiesenweg 30, Leinfelden-Echterdingen";"ausgeführt 1979/1980";;;;;
"2023-03-24T15:12:04+01:00";"111629";"16985";"92";"gta Aarchives";"gta Archives";"91";;;"Œuvres";"Œuvres";"Hoch- und Tiefbau-Unternehmung Johann Hackl : Einstellhalle Brunnen";"Building and Civil Engineering Company Johann Hackl : Parking Garage Brunnen";;;;;"Hoch- und Tiefbau-Unternehmung Johann Hackl : Einstellhalle";"Building and Civil Engineering Company Johann Hackl : Parking Garage";"1964";"1964";;;"Ingenieur: Heinz Isler";"Objektort: Brunnen/SZ";"Vorprojekt 1964";" 1964";"1964";;;
"2023-03-24T15:12:04+01:00";"111630";"16986";"92";"gta Aarchives";"gta Archives";"91";;;"Œuvres";"Œuvres";"Müller und Laubscher Davos (Politische Gemeinde)";"Müller and Laubscher Davos (Municipality)";;;;;"Müller und Laubscher";"Müller and Laubscher";"1970";"1970";;;"Ingenieur: Heinz Isler";"Objektort: Davos";"Projekt ca. 1970";"1970";"1970";;;
"2023-03-24T15:12:04+01:00";"111631";"16987";"92";"gta Aarchives";"gta Archives";"19
53
91";;;"Select Isler Project
Hierarchy ok!
Œuvres";"Select Isler Project
Hierarchy ok!
Œuvres";"Härterei Gerster AG Egerkingen, Güterstrasse (Teile von bewohnten Orten)";"Hardening Company Gerster AG Egerkingen, Güterstrasse (parts of inhabited places)";;;;;"Härterei Gerster AG";"Hardening Company Gerster AG";"1984";"2001";;;"Ingenieur: Heinz Isler; Bauherr: Härterei Gerster AG; Architekt: Werner Heiri";"Objektort: Güterstrasse 5, Egerkingen/SO";"ausgeführt 2001";;;;;
"2023-03-24T15:12:04+01:00";"111632";"16988";"92";"gta Aarchives";"gta Archives";"91";;;"Œuvres";"Œuvres";"Ingenieur E. Hauptmann, Essen Essen (Gemeinde in Belgien)";"Engineer E. Hauptmann, Essen Essen (municipality of Belgium)";;;;;"Ingenieur E. Hauptmann, Essen";"Engineer E. Hauptmann, Essen";"1966";"1967";;;"Ingenieur: Heinz Isler";"Objektort: Essen";"Vorprojekt 1966/1967";" 1966 - 1967";"1966 to 1967";;;
"2023-03-24T15:12:04+01:00";"111633";"16989";"92";"gta Aarchives";"gta Archives";"55
91";;;"To be deleted - do not link!
Œuvres";"To be deleted - do not link!
Œuvres";"Chemisch Technische Produkte Blaser & Co. AG (heute Blaser Swisslube AG) („Blaha“) Rüegsbach, Winterseistrasse (Straße)";"Rüegsbach, Winterseistrasse (roads)";;;;;"Chemisch Technische Produkte Blaser & Co. AG (heute Blaser Swisslube AG) („Blaha“)";"";"";"";;;"Ingenieur: Heinz Isler; Bauherr(en): Chemisch Technische Produkte Blaser & Co. AG";"Objektort: Winterseistrasse, Hasle-Rüegsau/BE";"Projekt 1999";;;;;
"2023-03-24T15:12:04+01:00";"111635";"16991";"92";"gta Aarchives";"gta Archives";"55
91";;;"To be deleted - do not link!
Œuvres";"To be deleted - do not link!
Œuvres";"Schuhgrosshandel JLCO J. Lüthi + Co. AG : Lagerhalle Buchmatt (Halle Expo 64 Lausanne) Burgdorf (Politische Gemeinde)";"Burgdorf (Municipality)";;;;;"Schuhgrosshandel JLCO J. Lüthi + Co. AG : Lagerhalle Buchmatt (Halle Expo 64 Lausanne)";"";"";"";;;"Ingenieur: Heinz Isler; Mitarbeiter: A. Scherrer; Bauherr(en): Schuhgrosshandel JLCO J. Lüthi + Co. AG";"Objektort: Burgdorf/BE";"Vorprojekt 1964/1965";;;;;
"2023-03-24T15:12:04+01:00";"111636";"16992";"92";"gta Aarchives";"gta Archives";"55
91";;;"To be deleted - do not link!
Œuvres";"To be deleted - do not link!
Œuvres";"Gartencenter Clause (heute Jardinerie Truffaut) RN 7 : Village d’Artisans (Künstlerateliers) Saint-Fargeau-Ponthierry, Route Nationale (Straße) (Strasse) Saint-Fargeau-Ponthierry, Avenue de Vila Nova de Famalicao (Straße) (Strasse)";"Saint-Fargeau-Ponthierry, Route Nationale (roads) (Street) Saint-Fargeau-Ponthierry, Avenue de Vila Nova de Famalicao (roads) (Street)";;;;;"Gartencenter Clause (heute Jardinerie Truffaut) RN 7 : Village d’Artisans (Künstlerateliers)";"";"1977";"1977";;;"Ingenieur: Heinz Isler; Bauherr(en): Florelites Clause SA (Brétigny-sur-Orge/Frankreich)";"Objektort: Route nationale 7 / Avenue de Vila Nova de Famalicao, Saint-Fargeau-Ponthierry";"ausgeführt 1977";;;;;
"2023-03-24T15:12:04+01:00";"111637";"16993";"92";"gta Aarchives";"gta Archives";"91";;;"Œuvres";"Œuvres";"Unterlagen zu Lichtkuppeln, Krananlagen und einer Versuchsschale";"Documents on Domed Skylights, Crane Systems and a Test Shell";;;;;"Unterlagen zu Lichtkuppeln, Krananlagen und einer Versuchsschale";"Documents on Domed Skylights, Crane Systems and a Test Shell";"1960";"1967";;;"Ingenieur: Heinz Isler; Beteiligt: Eschmann AG, H. Hofstetter";"";"Datiert 1960/1967";" 1960 - 1967";"1960 to 1967";;;
